refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere
GIFFAE,OC(=O)c1[nH]nnc1C(=O)O,Sm,3.82458,2.39001,3.82458
GIFFEI,OC(=O)c1[nH]nnc1C(=O)O,Eu,3.80373,2.37194,3.80373
GIGBAB,CN1CCNCC1,Cu,2.38365,1.20944,2.10372
GIJMOB,O=C1NS(=O)(=O)c2c1c(O)ccc2,Na,1.76378,0.87401,1.76264
GIKBEK,OC(=O)/C=C/c1c2ccccc2c(c2c1cccc2)/C=C/C(=O)O,Ba,2.26623,1.26699,2.19045
GIKPIB,F[Si](F)(F)(F)(F)F,Cu,8.24789,7.67433,8.24756
GIPCIU,OC(=O)Cc1ccc(cc1)CC(=O)O,Y,3.11543,1.49455,3.11011
GIRHIZ,C=CCn1cnc2c1ncnc2N,Ag,4.35067,2.15677,4.35067
GITTIN,O=N(=O)c1ncc[nH]1,Co,11.24192,3.73006,11.24192
GITTOT,[C]c1ncc[nH]1,Co,11.41484,3.34486,11.41484
GITVIP,Clc1[nH]cnc1Cl,Zn,17.00426,5.45561,17.00426
GIXNAF,OP(=O)(Cc1cc(cc(c1)CP(=O)(O)O)CP(=O)(O)O)O,Cd,1.90837,0.97347,1.8901
GIXVOZ,OC(=O)CN(CC(=O)O)CC(=O)O,Eu,3.00198,1.27373,2.98724
GLALCU10,C[C@@H](C(=O)O)NC(=O)CN,Cu,2.71694,1.60671,2.71372
GOJDOZ,OC(=O)[C@@H]1[C@H](C(=O)O)[C@H]([C@H]1C(=O)O)C(=O)O,U,3.80908,2.42426,3.80908
GUDFER,OC(=O)/C=C\C(=O)O,Rb,1.94441,1.5627,1.94441
GUDFIV,OC(=O)CCC(=O)O,Rb,1.95155,0.77034,1.81598
GUKYUI,OC(=O)CN1C=CN(C1)Cc1ccc(cc1)CN1C=CN(C1)CC(=O)O,Ca,5.98821,5.23348,5.98821
GUPBEZ,C1CN2CCN1CC2,Cu,7.29165,4.38283,7.03043
GUPBOJ01,CC1=NCC=N1,Cd,5.55255,3.87626,5.46785
GUPCOK01,CCc1ncc[nH]1,Cd,2.42965,1.34905,2.42641
